F99   | E:   99 | N:    0 | D:    0
S3    | E:  -17 | N:  597 | D:  180
F89   | E: -106 | N:  597 | D:  180
E1    | E: -105 | N:  597 | D:  180
F68   | E: -173 | N:  597 | D:  180
N5    | E: -173 | N:  602 | D:  180
E5    | E: -168 | N:  602 | D:  180
F89   | E: -257 | N:  602 | D:  180
L90   | E: -257 | N:  602 | D:   90
W1    | E: -258 | N:  602 | D:   90
N5    | E: -258 | N:  607 | D:   90
F79   | E: -258 | N:  528 | D:   90
R90   | E: -258 | N:  528 | D:  180
F44   | E: -302 | N:  528 | D:  180
E4    | E: -298 | N:  528 | D:  180
R90   | E: -298 | N:  528 | D:  270
S1    | E: -298 | N:  527 | D:  270
L90   | E: -298 | N:  527 | D:  180
E5    | E: -293 | N:  527 | D:  180
N3    | E: -293 | N:  530 | D:  180
R90   | E: -293 | N:  530 | D:  270
W3    | E: -296 | N:  530 | D:  270
N4    | E: -296 | N:  534 | D:  270
F83   | E: -296 | N:  617 | D:  270
E5    | E: -291 | N:  617 | D:  270
S4    | E: -291 | N:  613 | D:  270
F82   | E: -291 | N:  695 | D:  270
S2    | E: -291 | N:  693 | D:  270
F29   | E: -291 | N:  722 | D:  270
R90   | E: -291 | N:  722 | D:    0
S1    | E: -291 | N:  721 | D:    0
R180  | E: -291 | N:  721 | D:  180
F49   | E: -340 | N:  721 | D:  180
E5    | E: -335 | N:  721 | D:  180
N1    | E: -335 | N:  722 | D:  180
L180  | E: -335 | N:  722 | D:    0
R180  | E: -335 | N:  722 | D:  180
S3    | E: -335 | N:  719 | D:  180
L180  | E: -335 | N:  719 | D:    0
S3    | E: -335 | N:  716 | D:    0
F55   | E: -280 | N:  716 | D:    0
S3    | E: -280 | N:  713 | D:    0
F70   | E: -210 | N:  713 | D:    0
W5    | E: -215 | N:  713 | D:    0
N2    | E: -215 | N:  715 | D:    0
W2    | E: -217 | N:  715 | D:    0
R90   | E: -217 | N:  715 | D:   90
W1    | E: -218 | N:  715 | D:   90
F93   | E: -218 | N:  622 | D:   90
L180  | E: -218 | N:  622 | D:  270
L90   | E: -218 | N:  622 | D:  180
R90   | E: -218 | N:  622 | D:  270
L90   | E: -218 | N:  622 | D:  180
E3    | E: -215 | N:  622 | D:  180
L90   | E: -215 | N:  622 | D:   90
S3    | E: -215 | N:  619 | D:   90
R90   | E: -215 | N:  619 | D:  180
W5    | E: -220 | N:  619 | D:  180
N4    | E: -220 | N:  623 | D:  180
R90   | E: -220 | N:  623 | D:  270
S1    | E: -220 | N:  622 | D:  270
R90   | E: -220 | N:  622 | D:    0
W5    | E: -225 | N:  622 | D:    0
F100  | E: -125 | N:  622 | D:    0
W4    | E: -129 | N:  622 | D:    0
N2    | E: -129 | N:  624 | D:    0
F84   | E:  -45 | N:  624 | D:    0
F76   | E:   31 | N:  624 | D:    0
E5    | E:   36 | N:  624 | D:    0
L180  | E:   36 | N:  624 | D:  180
S4    | E:   36 | N:  620 | D:  180
F85   | E:  -49 | N:  620 | D:  180
R90   | E:  -49 | N:  620 | D:  270
L90   | E:  -49 | N:  620 | D:  180
F68   | E: -117 | N:  620 | D:  180
R90   | E: -117 | N:  620 | D:  270
S4    | E: -117 | N:  616 | D:  270
W2    | E: -119 | N:  616 | D:  270
L90   | E: -119 | N:  616 | D:  180
E1    | E: -118 | N:  616 | D:  180
F19   | E: -137 | N:  616 | D:  180
N2    | E: -137 | N:  618 | D:  180
L90   | E: -137 | N:  618 | D:   90
N4    | E: -137 | N:  622 | D:   90
E5    | E: -132 | N:  622 | D:   90
N1    | E: -132 | N:  623 | D:   90
L90   | E: -132 | N:  623 | D:    0
F75   | E:  -57 | N:  623 | D:    0
F42   | E:  -15 | N:  623 | D:    0
R90   | E:  -15 | N:  623 | D:   90
S5    | E:  -15 | N:  618 | D:   90
E4    | E:  -11 | N:  618 | D:   90
N1    | E:  -11 | N:  619 | D:   90
E4    | E:   -7 | N:  619 | D:   90
F7    | E:   -7 | N:  612 | D:   90
N5    | E:   -7 | N:  617 | D:   90
L180  | E:   -7 | N:  617 | D:  270
N4    | E:   -7 | N:  621 | D:  270
E5    | E:   -2 | N:  621 | D:  270
L270  | E:   -2 | N:  621 | D:    0
F6    | E:    4 | N:  621 | D:    0
R180  | E:    4 | N:  621 | D:  180
W5    | E:   -1 | N:  621 | D:  180
F93   | E:  -94 | N:  621 | D:  180
L180  | E:  -94 | N:  621 | D:    0
S1    | E:  -94 | N:  620 | D:    0
R90   | E:  -94 | N:  620 | D:   90
F66   | E:  -94 | N:  554 | D:   90
N4    | E:  -94 | N:  558 | D:   90
F83   | E:  -94 | N:  475 | D:   90
N1    | E:  -94 | N:  476 | D:   90
F10   | E:  -94 | N:  466 | D:   90
S2    | E:  -94 | N:  464 | D:   90
L90   | E:  -94 | N:  464 | D:    0
F80   | E:  -14 | N:  464 | D:    0
W1    | E:  -15 | N:  464 | D:    0
R180  | E:  -15 | N:  464 | D:  180
E2    | E:  -13 | N:  464 | D:  180
L90   | E:  -13 | N:  464 | D:   90
S4    | E:  -13 | N:  460 | D:   90
F53   | E:  -13 | N:  407 | D:   90
-13 407 420
