F99   | SE:  990 | SN:   99 | WE:   10 |W N:    1
F56   | SE: 2407 | SN: 28715 | WE:   -6 |W N:   45
S5    | SE: 2407 | SN: 28715 | WE:   -6 |W N:   40
F59   | SE: 2053 | SN: 31075 | WE:   -6 |W N:   40
S4    | SE: 2053 | SN: 31075 | WE:   -6 |W N:   36
F36   | SE: 1837 | SN: 32371 | WE:   -6 |W N:   36
N1    | SE: 1837 | SN: 32371 | WE:   -6 |W N:   37
W3    | SE: 1837 | SN: 32371 | WE:   -9 |W N:   37
R270  | SE: 1837 | SN: 32371 | WE:  -37 |W N:   -9
L90   | SE: 1837 | SN: 32371 | WE:    9 |W N:  -37
F86   | SE: 2611 | SN: 29189 | WE:    9 |W N:  -37
L180  | SE: 2611 | SN: 29189 | WE:   -9 |W N:   37
F33   | SE: 2314 | SN: 30410 | WE:   -9 |W N:   37
N5    | SE: 2314 | SN: 30410 | WE:   -9 |W N:   42
E4    | SE: 2314 | SN: 30410 | WE:   -5 |W N:   42
L90   | SE: 2314 | SN: 30410 | WE:  -42 |W N:   -5
F14   | SE: 1726 | SN: 30340 | WE:  -42 |W N:   -5
S3    | SE: 1726 | SN: 30340 | WE:  -42 |W N:   -8
L90   | SE: 1726 | SN: 30340 | WE:    8 |W N:  -42
N5    | SE: 1726 | SN: 30340 | WE:    8 |W N:  -37
L270  | SE: 1726 | SN: 30340 | WE:  -37 |W N:   -8
E5    | SE: 1726 | SN: 30340 | WE:  -32 |W N:   -8
S4    | SE: 1726 | SN: 30340 | WE:  -32 |W N:  -12
L180  | SE: 1726 | SN: 30340 | WE:   32 |W N:   12
W5    | SE: 1726 | SN: 30340 | WE:   27 |W N:   12
N2    | SE: 1726 | SN: 30340 | WE:   27 |W N:   14
L90   | SE: 1726 | SN: 30340 | WE:  -14 |W N:   27
E3    | SE: 1726 | SN: 30340 | WE:  -11 |W N:   27
F69   | SE:  967 | SN: 32203 | WE:  -11 |W N:   27
R90   | SE:  967 | SN: 32203 | WE:   27 |W N:   11
S5    | SE:  967 | SN: 32203 | WE:   27 |W N:    6
R270  | SE:  967 | SN: 32203 | WE:   -6 |W N:   27
N3    | SE:  967 | SN: 32203 | WE:   -6 |W N:   30
F70   | SE:  547 | SN: 34303 | WE:   -6 |W N:   30
E2    | SE:  547 | SN: 34303 | WE:   -4 |W N:   30
N2    | SE:  547 | SN: 34303 | WE:   -4 |W N:   32
F3    | SE:  535 | SN: 34399 | WE:   -4 |W N:   32
R90   | SE:  535 | SN: 34399 | WE:   32 |W N:    4
S5    | SE:  535 | SN: 34399 | WE:   32 |W N:   -1
L180  | SE:  535 | SN: 34399 | WE:  -32 |W N:    1
F59   | SE: -1353 | SN: 34458 | WE:  -32 |W N:    1
W3    | SE: -1353 | SN: 34458 | WE:  -35 |W N:    1
F67   | SE: -3698 | SN: 34525 | WE:  -35 |W N:    1
R180  | SE: -3698 | SN: 34525 | WE:   35 |W N:   -1
F74   | SE: -1108 | SN: 34451 | WE:   35 |W N:   -1
E4    | SE: -1108 | SN: 34451 | WE:   39 |W N:   -1
F4    | SE: -952 | SN: 34447 | WE:   39 |W N:   -1
L90   | SE: -952 | SN: 34447 | WE:    1 |W N:   39
N4    | SE: -952 | SN: 34447 | WE:    1 |W N:   43
R90   | SE: -952 | SN: 34447 | WE:   43 |W N:   -1
S5    | SE: -952 | SN: 34447 | WE:   43 |W N:   -6
F6    | SE: -694 | SN: 34411 | WE:   43 |W N:   -6
S1    | SE: -694 | SN: 34411 | WE:   43 |W N:   -7
E3    | SE: -694 | SN: 34411 | WE:   46 |W N:   -7
N4    | SE: -694 | SN: 34411 | WE:   46 |W N:   -3
W3    | SE: -694 | SN: 34411 | WE:   43 |W N:   -3
F24   | SE:  338 | SN: 34339 | WE:   43 |W N:   -3
E1    | SE:  338 | SN: 34339 | WE:   44 |W N:   -3
S1    | SE:  338 | SN: 34339 | WE:   44 |W N:   -4
E4    | SE:  338 | SN: 34339 | WE:   48 |W N:   -4
S2    | SE:  338 | SN: 34339 | WE:   48 |W N:   -6
F82   | SE: 4274 | SN: 33847 | WE:   48 |W N:   -6
N3    | SE: 4274 | SN: 33847 | WE:   48 |W N:   -3
L90   | SE: 4274 | SN: 33847 | WE:    3 |W N:   48
E1    | SE: 4274 | SN: 33847 | WE:    4 |W N:   48
S2    | SE: 4274 | SN: 33847 | WE:    4 |W N:   46
R270  | SE: 4274 | SN: 33847 | WE:  -46 |W N:    4
N4    | SE: 4274 | SN: 33847 | WE:  -46 |W N:    8
E1    | SE: 4274 | SN: 33847 | WE:  -45 |W N:    8
N3    | SE: 4274 | SN: 33847 | WE:  -45 |W N:   11
F32   | SE: 2834 | SN: 34199 | WE:  -45 |W N:   11
R270  | SE: 2834 | SN: 34199 | WE:  -11 |W N:  -45
W4    | SE: 2834 | SN: 34199 | WE:  -15 |W N:  -45
R90   | SE: 2834 | SN: 34199 | WE:  -45 |W N:   15
E4    | SE: 2834 | SN: 34199 | WE:  -41 |W N:   15
F33   | SE: 1481 | SN: 34694 | WE:  -41 |W N:   15
N5    | SE: 1481 | SN: 34694 | WE:  -41 |W N:   20
W3    | SE: 1481 | SN: 34694 | WE:  -44 |W N:   20
F34   | SE:  -15 | SN: 35374 | WE:  -44 |W N:   20
E2    | SE:  -15 | SN: 35374 | WE:  -42 |W N:   20
S1    | SE:  -15 | SN: 35374 | WE:  -42 |W N:   19
W3    | SE:  -15 | SN: 35374 | WE:  -45 |W N:   19
W4    | SE:  -15 | SN: 35374 | WE:  -49 |W N:   19
E2    | SE:  -15 | SN: 35374 | WE:  -47 |W N:   19
L90   | SE:  -15 | SN: 35374 | WE:  -19 |W N:  -47
N5    | SE:  -15 | SN: 35374 | WE:  -19 |W N:  -42
W3    | SE:  -15 | SN: 35374 | WE:  -22 |W N:  -42
S1    | SE:  -15 | SN: 35374 | WE:  -22 |W N:  -43
F86   | SE: -1907 | SN: 31676 | WE:  -22 |W N:  -43
E4    | SE: -1907 | SN: 31676 | WE:  -18 |W N:  -43
F99   | SE: -3689 | SN: 27419 | WE:  -18 |W N:  -43
S1    | SE: -3689 | SN: 27419 | WE:  -18 |W N:  -44
L90   | SE: -3689 | SN: 27419 | WE:   44 |W N:  -18
S2    | SE: -3689 | SN: 27419 | WE:   44 |W N:  -20
E2    | SE: -3689 | SN: 27419 | WE:   46 |W N:  -20
L90   | SE: -3689 | SN: 27419 | WE:   20 |W N:   46
F100  | SE: -1689 | SN: 32019 | WE:   20 |W N:   46
N5    | SE: -1689 | SN: 32019 | WE:   20 |W N:   51
F19   | SE: -1309 | SN: 32988 | WE:   20 |W N:   51
L180  | SE: -1309 | SN: 32988 | WE:  -20 |W N:  -51
W1    | SE: -1309 | SN: 32988 | WE:  -21 |W N:  -51
F25   | SE: -1834 | SN: 31713 | WE:  -21 |W N:  -51
N3    | SE: -1834 | SN: 31713 | WE:  -21 |W N:  -48
F25   | SE: -2359 | SN: 30513 | WE:  -21 |W N:  -48
R90   | SE: -2359 | SN: 30513 | WE:  -48 |W N:   21
W4    | SE: -2359 | SN: 30513 | WE:  -52 |W N:   21
N4    | SE: -2359 | SN: 30513 | WE:  -52 |W N:   25
R180  | SE: -2359 | SN: 30513 | WE:   52 |W N:  -25
N2    | SE: -2359 | SN: 30513 | WE:   52 |W N:  -23
E5    | SE: -2359 | SN: 30513 | WE:   57 |W N:  -23
R90   | SE: -2359 | SN: 30513 | WE:  -23 |W N:  -57
F66   | SE: -3877 | SN: 26751 | WE:  -23 |W N:  -57
N5    | SE: -3877 | SN: 26751 | WE:  -23 |W N:  -52
E2    | SE: -3877 | SN: 26751 | WE:  -21 |W N:  -52
L180  | SE: -3877 | SN: 26751 | WE:   21 |W N:   52
L90   | SE: -3877 | SN: 26751 | WE:  -52 |W N:   21
E1    | SE: -3877 | SN: 26751 | WE:  -51 |W N:   21
S2    | SE: -3877 | SN: 26751 | WE:  -51 |W N:   19
R90   | SE: -3877 | SN: 26751 | WE:   19 |W N:   51
W3    | SE: -3877 | SN: 26751 | WE:   16 |W N:   51
S1    | SE: -3877 | SN: 26751 | WE:   16 |W N:   50
S2    | SE: -3877 | SN: 26751 | WE:   16 |W N:   48
L90   | SE: -3877 | SN: 26751 | WE:  -48 |W N:   16
F93   | SE: -8341 | SN: 28239 | WE:  -48 |W N:   16
L90   | SE: -8341 | SN: 28239 | WE:  -16 |W N:  -48
W2    | SE: -8341 | SN: 28239 | WE:  -18 |W N:  -48
R270  | SE: -8341 | SN: 28239 | WE:   48 |W N:  -18
F73   | SE: -4837 | SN: 26925 | WE:   48 |W N:  -18
N4    | SE: -4837 | SN: 26925 | WE:   48 |W N:  -14
L90   | SE: -4837 | SN: 26925 | WE:   14 |W N:   48
F44   | SE: -4221 | SN: 29037 | WE:   14 |W N:   48
R90   | SE: -4221 | SN: 29037 | WE:   48 |W N:  -14
N1    | SE: -4221 | SN: 29037 | WE:   48 |W N:  -13
W3    | SE: -4221 | SN: 29037 | WE:   45 |W N:  -13
R90   | SE: -4221 | SN: 29037 | WE:  -13 |W N:  -45
F69   | SE: -5118 | SN: 25932 | WE:  -13 |W N:  -45
N5    | SE: -5118 | SN: 25932 | WE:  -13 |W N:  -40
L90   | SE: -5118 | SN: 25932 | WE:   40 |W N:  -13
N1    | SE: -5118 | SN: 25932 | WE:   40 |W N:  -12
R90   | SE: -5118 | SN: 25932 | WE:  -12 |W N:  -40
F35   | SE: -5538 | SN: 24532 | WE:  -12 |W N:  -40
F89   | SE: -6606 | SN: 20972 | WE:  -12 |W N:  -40
E4    | SE: -6606 | SN: 20972 | WE:   -8 |W N:  -40
F31   | SE: -6854 | SN: 19732 | WE:   -8 |W N:  -40
W3    | SE: -6854 | SN: 19732 | WE:  -11 |W N:  -40
R270  | SE: -6854 | SN: 19732 | WE:   40 |W N:  -11
W1    | SE: -6854 | SN: 19732 | WE:   39 |W N:  -11
N2    | SE: -6854 | SN: 19732 | WE:   39 |W N:   -9
E5    | SE: -6854 | SN: 19732 | WE:   44 |W N:   -9
L90   | SE: -6854 | SN: 19732 | WE:    9 |W N:   44
W4    | SE: -6854 | SN: 19732 | WE:    5 |W N:   44
W1    | SE: -6854 | SN: 19732 | WE:    4 |W N:   44
F93   | SE: -6482 | SN: 23824 | WE:    4 |W N:   44
E4    | SE: -6482 | SN: 23824 | WE:    8 |W N:   44
F18   | SE: -6338 | SN: 24616 | WE:    8 |W N:   44
N4    | SE: -6338 | SN: 24616 | WE:    8 |W N:   48
F31   | SE: -6090 | SN: 26104 | WE:    8 |W N:   48
W5    | SE: -6090 | SN: 26104 | WE:    3 |W N:   48
N4    | SE: -6090 | SN: 26104 | WE:    3 |W N:   52
L90   | SE: -6090 | SN: 26104 | WE:  -52 |W N:    3
N1    | SE: -6090 | SN: 26104 | WE:  -52 |W N:    4
E2    | SE: -6090 | SN: 26104 | WE:  -50 |W N:    4
R270  | SE: -6090 | SN: 26104 | WE:   -4 |W N:  -50
F34   | SE: -6226 | SN: 24404 | WE:   -4 |W N:  -50
N5    | SE: -6226 | SN: 24404 | WE:   -4 |W N:  -45
W2    | SE: -6226 | SN: 24404 | WE:   -6 |W N:  -45
L270  | SE: -6226 | SN: 24404 | WE:  -45 |W N:    6
W3    | SE: -6226 | SN: 24404 | WE:  -48 |W N:    6
F44   | SE: -8338 | SN: 24668 | WE:  -48 |W N:    6
S3    | SE: -8338 | SN: 24668 | WE:  -48 |W N:    3
F47   | SE: -10594 | SN: 24809 | WE:  -48 |W N:    3
W2    | SE: -10594 | SN: 24809 | WE:  -50 |W N:    3
F86   | SE: -14894 | SN: 25067 | WE:  -50 |W N:    3
N4    | SE: -14894 | SN: 25067 | WE:  -50 |W N:    7
R90   | SE: -14894 | SN: 25067 | WE:    7 |W N:   50
S5    | SE: -14894 | SN: 25067 | WE:    7 |W N:   45
R90   | SE: -14894 | SN: 25067 | WE:   45 |W N:   -7
F4    | SE: -14714 | SN: 25039 | WE:   45 |W N:   -7
E3    | SE: -14714 | SN: 25039 | WE:   48 |W N:   -7
L180  | SE: -14714 | SN: 25039 | WE:  -48 |W N:    7
W5    | SE: -14714 | SN: 25039 | WE:  -53 |W N:    7
R180  | SE: -14714 | SN: 25039 | WE:   53 |W N:   -7
F89   | SE: -9997 | SN: 24416 | WE:   53 |W N:   -7
L180  | SE: -9997 | SN: 24416 | WE:  -53 |W N:    7
F46   | SE: -12435 | SN: 24738 | WE:  -53 |W N:    7
N3    | SE: -12435 | SN: 24738 | WE:  -53 |W N:   10
F76   | SE: -16463 | SN: 25498 | WE:  -53 |W N:   10
R270  | SE: -16463 | SN: 25498 | WE:  -10 |W N:  -53
S2    | SE: -16463 | SN: 25498 | WE:  -10 |W N:  -55
F62   | SE: -17083 | SN: 22088 | WE:  -10 |W N:  -55
R90   | SE: -17083 | SN: 22088 | WE:  -55 |W N:   10
S2    | SE: -17083 | SN: 22088 | WE:  -55 |W N:    8
F28   | SE: -18623 | SN: 22312 | WE:  -55 |W N:    8
R180  | SE: -18623 | SN: 22312 | WE:   55 |W N:   -8
F47   | SE: -16038 | SN: 21936 | WE:   55 |W N:   -8
E4    | SE: -16038 | SN: 21936 | WE:   59 |W N:   -8
N4    | SE: -16038 | SN: 21936 | WE:   59 |W N:   -4
R90   | SE: -16038 | SN: 21936 | WE:   -4 |W N:  -59
S4    | SE: -16038 | SN: 21936 | WE:   -4 |W N:  -63
E3    | SE: -16038 | SN: 21936 | WE:   -1 |W N:  -63
R180  | SE: -16038 | SN: 21936 | WE:    1 |W N:   63
N1    | SE: -16038 | SN: 21936 | WE:    1 |W N:   64
F92   | SE: -15946 | SN: 27824 | WE:    1 |W N:   64
R180  | SE: -15946 | SN: 27824 | WE:   -1 |W N:  -64
F86   | SE: -16032 | SN: 22320 | WE:   -1 |W N:  -64
N3    | SE: -16032 | SN: 22320 | WE:   -1 |W N:  -61
R270  | SE: -16032 | SN: 22320 | WE:   61 |W N:   -1
F47   | SE: -13165 | SN: 22273 | WE:   61 |W N:   -1
E4    | SE: -13165 | SN: 22273 | WE:   65 |W N:   -1
S4    | SE: -13165 | SN: 22273 | WE:   65 |W N:   -5
W2    | SE: -13165 | SN: 22273 | WE:   63 |W N:   -5
F67   | SE: -8944 | SN: 21938 | WE:   63 |W N:   -5
N5    | SE: -8944 | SN: 21938 | WE:   63 |W N:    0
W3    | SE: -8944 | SN: 21938 | WE:   60 |W N:    0
N1    | SE: -8944 | SN: 21938 | WE:   60 |W N:    1
F98   | SE: -3064 | SN: 22036 | WE:   60 |W N:    1
S1    | SE: -3064 | SN: 22036 | WE:   60 |W N:    0
E4    | SE: -3064 | SN: 22036 | WE:   64 |W N:    0
N3    | SE: -3064 | SN: 22036 | WE:   64 |W N:    3
F97   | SE: 3144 | SN: 22327 | WE:   64 |W N:    3
E3    | SE: 3144 | SN: 22327 | WE:   67 |W N:    3
F69   | SE: 7767 | SN: 22534 | WE:   67 |W N:    3
E3    | SE: 7767 | SN: 22534 | WE:   70 |W N:    3
F38   | SE: 10427 | SN: 22648 | WE:   70 |W N:    3
E3    | SE: 10427 | SN: 22648 | WE:   73 |W N:    3
S4    | SE: 10427 | SN: 22648 | WE:   73 |W N:   -1
E5    | SE: 10427 | SN: 22648 | WE:   78 |W N:   -1
F81   | SE: 16745 | SN: 22567 | WE:   78 |W N:   -1
E3    | SE: 16745 | SN: 22567 | WE:   81 |W N:   -1
F5    | SE: 17150 | SN: 22562 | WE:   81 |W N:   -1
E3    | SE: 17150 | SN: 22562 | WE:   84 |W N:   -1
R90   | SE: 17150 | SN: 22562 | WE:   -1 |W N:  -84
W2    | SE: 17150 | SN: 22562 | WE:   -3 |W N:  -84
N4    | SE: 17150 | SN: 22562 | WE:   -3 |W N:  -80
W3    | SE: 17150 | SN: 22562 | WE:   -6 |W N:  -80
F94   | SE: 16586 | SN: 15042 | WE:   -6 |W N:  -80
L180  | SE: 16586 | SN: 15042 | WE:    6 |W N:   80
F30   | SE: 16766 | SN: 17442 | WE:    6 |W N:   80
N1    | SE: 16766 | SN: 17442 | WE:    6 |W N:   81
F91   | SE: 17312 | SN: 24813 | WE:    6 |W N:   81
S3    | SE: 17312 | SN: 24813 | WE:    6 |W N:   78
F89   | SE: 17846 | SN: 31755 | WE:    6 |W N:   78
E1    | SE: 17846 | SN: 31755 | WE:    7 |W N:   78
F68   | SE: 18322 | SN: 37059 | WE:    7 |W N:   78
N5    | SE: 18322 | SN: 37059 | WE:    7 |W N:   83
E5    | SE: 18322 | SN: 37059 | WE:   12 |W N:   83
F89   | SE: 19390 | SN: 44446 | WE:   12 |W N:   83
L90   | SE: 19390 | SN: 44446 | WE:  -83 |W N:   12
W1    | SE: 19390 | SN: 44446 | WE:  -84 |W N:   12
N5    | SE: 19390 | SN: 44446 | WE:  -84 |W N:   17
F79   | SE: 12754 | SN: 45789 | WE:  -84 |W N:   17
R90   | SE: 12754 | SN: 45789 | WE:   17 |W N:   84
F44   | SE: 13502 | SN: 49485 | WE:   17 |W N:   84
E4    | SE: 13502 | SN: 49485 | WE:   21 |W N:   84
R90   | SE: 13502 | SN: 49485 | WE:   84 |W N:  -21
S1    | SE: 13502 | SN: 49485 | WE:   84 |W N:  -22
L90   | SE: 13502 | SN: 49485 | WE:   22 |W N:   84
E5    | SE: 13502 | SN: 49485 | WE:   27 |W N:   84
N3    | SE: 13502 | SN: 49485 | WE:   27 |W N:   87
R90   | SE: 13502 | SN: 49485 | WE:   87 |W N:  -27
W3    | SE: 13502 | SN: 49485 | WE:   84 |W N:  -27
N4    | SE: 13502 | SN: 49485 | WE:   84 |W N:  -23
F83   | SE: 20474 | SN: 47576 | WE:   84 |W N:  -23
E5    | SE: 20474 | SN: 47576 | WE:   89 |W N:  -23
S4    | SE: 20474 | SN: 47576 | WE:   89 |W N:  -27
F82   | SE: 27772 | SN: 45362 | WE:   89 |W N:  -27
S2    | SE: 27772 | SN: 45362 | WE:   89 |W N:  -29
F29   | SE: 30353 | SN: 44521 | WE:   89 |W N:  -29
R90   | SE: 30353 | SN: 44521 | WE:  -29 |W N:  -89
S1    | SE: 30353 | SN: 44521 | WE:  -29 |W N:  -90
R180  | SE: 30353 | SN: 44521 | WE:   29 |W N:   90
F49   | SE: 31774 | SN: 48931 | WE:   29 |W N:   90
E5    | SE: 31774 | SN: 48931 | WE:   34 |W N:   90
N1    | SE: 31774 | SN: 48931 | WE:   34 |W N:   91
L180  | SE: 31774 | SN: 48931 | WE:  -34 |W N:  -91
R180  | SE: 31774 | SN: 48931 | WE:   34 |W N:   91
S3    | SE: 31774 | SN: 48931 | WE:   34 |W N:   88
L180  | SE: 31774 | SN: 48931 | WE:  -34 |W N:  -88
S3    | SE: 31774 | SN: 48931 | WE:  -34 |W N:  -91
F55   | SE: 29904 | SN: 43926 | WE:  -34 |W N:  -91
S3    | SE: 29904 | SN: 43926 | WE:  -34 |W N:  -94
F70   | SE: 27524 | SN: 37346 | WE:  -34 |W N:  -94
W5    | SE: 27524 | SN: 37346 | WE:  -39 |W N:  -94
N2    | SE: 27524 | SN: 37346 | WE:  -39 |W N:  -92
W2    | SE: 27524 | SN: 37346 | WE:  -41 |W N:  -92
R90   | SE: 27524 | SN: 37346 | WE:  -92 |W N:   41
W1    | SE: 27524 | SN: 37346 | WE:  -93 |W N:   41
F93   | SE: 18875 | SN: 41159 | WE:  -93 |W N:   41
L180  | SE: 18875 | SN: 41159 | WE:   93 |W N:  -41
L90   | SE: 18875 | SN: 41159 | WE:   41 |W N:   93
R90   | SE: 18875 | SN: 41159 | WE:   93 |W N:  -41
L90   | SE: 18875 | SN: 41159 | WE:   41 |W N:   93
E3    | SE: 18875 | SN: 41159 | WE:   44 |W N:   93
L90   | SE: 18875 | SN: 41159 | WE:  -93 |W N:   44
S3    | SE: 18875 | SN: 41159 | WE:  -93 |W N:   41
R90   | SE: 18875 | SN: 41159 | WE:   41 |W N:   93
W5    | SE: 18875 | SN: 41159 | WE:   36 |W N:   93
N4    | SE: 18875 | SN: 41159 | WE:   36 |W N:   97
R90   | SE: 18875 | SN: 41159 | WE:   97 |W N:  -36
S1    | SE: 18875 | SN: 41159 | WE:   97 |W N:  -37
R90   | SE: 18875 | SN: 41159 | WE:  -37 |W N:  -97
W5    | SE: 18875 | SN: 41159 | WE:  -42 |W N:  -97
F100  | SE: 14675 | SN: 31459 | WE:  -42 |W N:  -97
W4    | SE: 14675 | SN: 31459 | WE:  -46 |W N:  -97
N2    | SE: 14675 | SN: 31459 | WE:  -46 |W N:  -95
F84   | SE: 10811 | SN: 23479 | WE:  -46 |W N:  -95
F76   | SE: 7315 | SN: 16259 | WE:  -46 |W N:  -95
E5    | SE: 7315 | SN: 16259 | WE:  -41 |W N:  -95
L180  | SE: 7315 | SN: 16259 | WE:   41 |W N:   95
S4    | SE: 7315 | SN: 16259 | WE:   41 |W N:   91
F85   | SE: 10800 | SN: 23994 | WE:   41 |W N:   91
R90   | SE: 10800 | SN: 23994 | WE:   91 |W N:  -41
L90   | SE: 10800 | SN: 23994 | WE:   41 |W N:   91
F68   | SE: 13588 | SN: 30182 | WE:   41 |W N:   91
R90   | SE: 13588 | SN: 30182 | WE:   91 |W N:  -41
S4    | SE: 13588 | SN: 30182 | WE:   91 |W N:  -45
W2    | SE: 13588 | SN: 30182 | WE:   89 |W N:  -45
L90   | SE: 13588 | SN: 30182 | WE:   45 |W N:   89
E1    | SE: 13588 | SN: 30182 | WE:   46 |W N:   89
F19   | SE: 14462 | SN: 31873 | WE:   46 |W N:   89
N2    | SE: 14462 | SN: 31873 | WE:   46 |W N:   91
L90   | SE: 14462 | SN: 31873 | WE:  -91 |W N:   46
N4    | SE: 14462 | SN: 31873 | WE:  -91 |W N:   50
E5    | SE: 14462 | SN: 31873 | WE:  -86 |W N:   50
N1    | SE: 14462 | SN: 31873 | WE:  -86 |W N:   51
L90   | SE: 14462 | SN: 31873 | WE:  -51 |W N:  -86
F75   | SE: 10637 | SN: 25423 | WE:  -51 |W N:  -86
F42   | SE: 8495 | SN: 21811 | WE:  -51 |W N:  -86
R90   | SE: 8495 | SN: 21811 | WE:  -86 |W N:   51
S5    | SE: 8495 | SN: 21811 | WE:  -86 |W N:   46
E4    | SE: 8495 | SN: 21811 | WE:  -82 |W N:   46
N1    | SE: 8495 | SN: 21811 | WE:  -82 |W N:   47
E4    | SE: 8495 | SN: 21811 | WE:  -78 |W N:   47
F7    | SE: 7949 | SN: 22140 | WE:  -78 |W N:   47
N5    | SE: 7949 | SN: 22140 | WE:  -78 |W N:   52
L180  | SE: 7949 | SN: 22140 | WE:   78 |W N:  -52
N4    | SE: 7949 | SN: 22140 | WE:   78 |W N:  -48
E5    | SE: 7949 | SN: 22140 | WE:   83 |W N:  -48
L270  | SE: 7949 | SN: 22140 | WE:  -48 |W N:  -83
F6    | SE: 7661 | SN: 21642 | WE:  -48 |W N:  -83
R180  | SE: 7661 | SN: 21642 | WE:   48 |W N:   83
W5    | SE: 7661 | SN: 21642 | WE:   43 |W N:   83
F93   | SE: 11660 | SN: 29361 | WE:   43 |W N:   83
L180  | SE: 11660 | SN: 29361 | WE:  -43 |W N:  -83
S1    | SE: 11660 | SN: 29361 | WE:  -43 |W N:  -84
R90   | SE: 11660 | SN: 29361 | WE:  -84 |W N:   43
F66   | SE: 6116 | SN: 32199 | WE:  -84 |W N:   43
N4    | SE: 6116 | SN: 32199 | WE:  -84 |W N:   47
F83   | SE: -856 | SN: 36100 | WE:  -84 |W N:   47
N1    | SE: -856 | SN: 36100 | WE:  -84 |W N:   48
F10   | SE: -1696 | SN: 36580 | WE:  -84 |W N:   48
S2    | SE: -1696 | SN: 36580 | WE:  -84 |W N:   46
L90   | SE: -1696 | SN: 36580 | WE:  -46 |W N:  -84
F80   | SE: -5376 | SN: 29860 | WE:  -46 |W N:  -84
W1    | SE: -5376 | SN: 29860 | WE:  -47 |W N:  -84
R180  | SE: -5376 | SN: 29860 | WE:   47 |W N:   84
E2    | SE: -5376 | SN: 29860 | WE:   49 |W N:   84
L90   | SE: -5376 | SN: 29860 | WE:  -84 |W N:   49
S4    | SE: -5376 | SN: 29860 | WE:  -84 |W N:   45
F53   | SE: -9828 | SN: 32245 | WE:  -84 |W N:   45
-9828 32245 -84 45 42073
